BioSample	collection_year
SAMEA2259626	2007
SAMEA2259627	2010
SAMEA2259628	2008
SAMEA2259629	2009
SAMEA2259632	2012
SAMEA2259633	2008
SAMEA2259634	2009
SAMEA2259635	2010
SAMEA2259636	2010
SAMEA2259637	2011
SAMEA2259638	2012
SAMEA2259639	2012
SAMEA2259640	2013
SAMEA2259641	2013
SAMEA2259646	2010
SAMEA2259649	2008
SAMEA2259656	2004
SAMEA2259657	2010
SAMEA2259658	2005
SAMEA2259659	2005
SAMEA2259660	2006
SAMEA2259662	2006
SAMEA2259663	2003
SAMEA2259664	2004
SAMEA2259682	2011
SAMEA2259683	2004
SAMEA2259684	2004
SAMEA2259685	2006
SAMEA2259686	2008
SAMEA2259694	2008
SAMEA2259695	2008
SAMEA2259696	2008
SAMEA2259699	2008
SAMEA2259702	2009
SAMEA2259705	2013
SAMEA2259706	2008
SAMEA2259709	2008
SAMEA2259712	2008
SAMEA2259713	2008
SAMEA2259715	2008
SAMEA2259719	2012
SAMEA2259720	2011
SAMEA2259721	2006
SAMEA2259722	2008
SAMEA2259723	2008
SAMEA2275627	2012
SAMEA2275631	2012
SAMEA2275632	2012
SAMEA2275633	2012
SAMEA2275651	2009
SAMEA2275652	2009
SAMEA2275653	2009
SAMEA2275664	2009
SAMEA2275666	2010
SAMEA2275671	2009
SAMEA2275673	2010
SAMEA2275677	2010
SAMEA2275678	2010
SAMEA2275687	2010
SAMEA2275688	2010
SAMEA2275689	2010
SAMEA2275690	2010
SAMEA2275691	2010
SAMEA2275692	2010
SAMEA2275696	2009
SAMEA2275699	2010
SAMEA2275701	2010
SAMEA2275702	2011
SAMEA2275703	2011
SAMEA2275704	2011
SAMEA2275706	2011
SAMEA2275708	2009
SAMEA2275710	2011
SAMEA2275711	2011
SAMEA2275712	2011
SAMEA2275713	2011
SAMEA2275714	2011
SAMEA2275716	2011
SAMEA2275717	2011
SAMEA2275718	2011
SAMEA2275719	2011
SAMEA2275720	2009
SAMEA2275722	2011
SAMEA2275723	2011
SAMEA2275724	2011
SAMEA2275735	2011
SAMEA2275736	2011
