Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality	kmer_content
ERR490699_1	ERR490699_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1807390.0	0.0	15-100	63.0	95.98872995514579	95.70545040085428	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass		
ERR490699_2	ERR490699_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1807390.0	0.0	15-100	63.0	96.10928546244563	94.69393324075047	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass		
ERR490700_1	ERR490700_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1677903.0	0.0	15-100	63.0	95.78629323217439	95.66966266822337	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR490700_2	ERR490700_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1677903.0	0.0	15-100	64.0	95.71230823792766	94.60384062725915	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR490701_1	ERR490701_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1883063.0	0.0	15-100	64.0	95.40533999366677	95.58867865812243	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR490701_2	ERR490701_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1883063.0	0.0	15-100	64.0	95.43417834601999	94.62144495431114	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR490702_1	ERR490702_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1712625.0	0.0	15-100	63.0	95.7789295511901	95.65694416465952	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR490702_2	ERR490702_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1712625.0	0.0	15-100	63.0	95.8782436026141	94.63328866506095	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR490703_1	ERR490703_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1740912.0	0.0	15-100	64.0	95.85909243718211	95.61316252630805	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR490703_2	ERR490703_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1740912.0	0.0	15-100	64.0	95.95498564347893	94.70395057303298	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR490704_1	ERR490704_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1744036.0	0.0	15-100	63.0	95.390582970759	95.64175739491616	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR490704_2	ERR490704_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1744036.0	0.0	15-100	63.0	95.55706509592905	94.62697673671873	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR494832_1	ERR494832_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2126754.0	0.0	15-100	63.0	93.98177654382526	95.73856308722118	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass		
